name,price,discount,memory,display,camera,battery,warranty,processor
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹1,22,900",26% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Apple iPhone 16 Pro (Black Titanium, 256 GB)","₹1,74,999",25% off,256 GB ROM,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,"A18 Pro Chip, 6 Core Processor Processor"
"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹10,749",40% off,12 GB RAM | 256 GB ROM,20.32 cm (8 inch) QXGA+ Display,200MP + 12MP + 10MP | 10MP Front Camera,4400 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Snapdragon 8 Elite for Galaxy Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)",₹898,31% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
Kechaoda A27,"₹14,999",44% off,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) FWVGA Display,0MP | 0MP Front Camera,800 mAh Battery,NO WARRANTY,processor speed 400MHZ Processor
"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)","₹10,749",23% off,6 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery,1 Year Warranty for Handset and 6 Months Warranty for Accessories,Dimensity 7300 Ultimate Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹19,999",23% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹10,990",25% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"realme Narzo 80 Lite 5G (Crystal Purple, 128 GB)","₹52,999",28% off,4 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,6000 mAh Battery,1 Year Warranty,6000 mAh Battery
"Samsung Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹8,699",41% off,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Quad HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4900 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400 Processor
